Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,search-query,query-date,doi,bibtex,doi_link,No Survey / Literature Review,Contains Experiments and Results for WTPC,Full Text Available,Used Features,Used Models,Used Evaluation Metrics,Dataset Description,Dataset From Date,Dataset To Date,Time period,Granularity,Number of Turbines,Location,Available Features,Power per WT,Onshore/Offshore?,Observed Failures,Dataset Availability,Source Code Availability
"Ciulla, Giuseppina; D’Amico, Antonino; Di Dio, V; Brano, V Lo; ",Modelling and analysis of real-world wind turbine power curves: Assessing deviations from nominal curve by neural networks,Renewable energy,140.0,,477-492,2019,Elsevier,wind farm power curve,2025-06-12,10.1016/j.renene.2019.03.075,"@article{Ciulla_2019, title={Modelling and analysis of real-world wind turbine power curves: Assessing deviations from nominal curve by neural networks}, volume={140}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.03.075}, DOI={10.1016/j.renene.2019.03.075}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Ciulla, G. and D’Amico, A. and Di Dio, V. and Lo Brano, V.}, year={2019}, month=sep, pages={477–492} }",https://doi.org/10.1016/j.renene.2019.03.075,True,True,True,"Wind Direction, Humidity, Ambient Temperature, Turbulence Intensity, Air Pressure","MLP, Splines, Ordinary Least Squares, Fourier Series Interpolation","MAE, Median Absolute Error, R^2",SENVION MM92 (Commercial real plant),,,1 year,10 min,2,"Southern Italy (area is characterized by a simple and flat orography, free of natural obstructions)",10,"2,05",Onshore,,No,No
"Yan, Chi; Pan, Yang; Archer, Cristina L; ",A general method to estimate wind farm power using artificial neural networks,Wind Energy,22.0,11,1421-1432,2019,Wiley Online Library,wind farm power curve,2025-06-12,10.1002/we.2379,"@article{Yan_2019, title={A general method to estimate wind farm power using artificial neural networks}, volume={22}, ISSN={1099-1824}, url={http://dx.doi.org/10.1002/we.2379}, DOI={10.1002/we.2379}, number={11}, journal={Wind Energy}, publisher={Wiley}, author={Yan, Chi and Pan, Yang and Archer, Cristina L.}, year={2019}, month=jul, pages={1421–1432} }",https://doi.org/10.1002/we.2379,True,True,True,"Wind Direction, yaw angle",ANN,"MAE, RMSE, AE",,"1/8/2009, 1/11/2006","31/5/2016, 28/02/2008",,1+10min,48+13,"Lillgrund, Sweden/Nørrekær, Denmark",3+2,2.3,Beides,,No,No
"Seo, Seokho; Oh, Si-Doek; Kwak, Ho-Young; ",Wind turbine power curve modeling using maximum likelihood estimation method,Renewable energy,136.0,,1164-1169,2019,Elsevier,power curve,2025-06-12,10.1016/j.renene.2018.09.087,"@article{Seo_2019, title={Wind turbine power curve modeling using maximum likelihood estimation method}, volume={136}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2018.09.087}, DOI={10.1016/j.renene.2018.09.087}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Seo, Seokho and Oh, Si-Doek and Kwak, Ho-Young}, year={2019}, month=jun, pages={1164–1169} }",https://doi.org/10.1016/j.renene.2018.09.087,True,True,True,Wind Speed Only,MLE,"AE, RMSE",,,,1 year,10 min,,South Korea,1,0.8,Onshore,,No,No
"van der Laan, Maarten Paul; Andersen, Søren Juhl; Ramos García, Néstor; Angelou, Nikolas; Pirrung, Georg Raimund; Ott, Søren; Sjöholm, Mikael; Sørensen, Kim Hylling; Vianna Neto, Julio Xavier; Kelly, Mark; ",Power curve and wake analyses of the Vestas multi-rotor demonstrator,Wind Energy Science,4.0,2.0,251-271,2019,Copernicus GmbH,power curve,2025-06-12,10.5194/wes-2018-77,"@article{van_der_Laan_2019, title={Power curve and wake analyses of the Vestas multi-rotor demonstrator}, url={http://dx.doi.org/10.5194/wes-2018-77}, DOI={10.5194/wes-2018-77}, publisher={Copernicus GmbH}, author={van der Laan, Maarten Paul and Anderson, Søren Juhl and Ramos García, Néstor and Angelou, Nikolas and Pirrung, Georg Raimund and Ott, Søren and Sjöholm, Mikael and Sørensen, Kim Hylling and Vianna Neto, Julio Xavier and Kelly, Mark and Mikkelsen, Torben Krogh and Larsen, Gunner Christian}, year={2019}, month=jan }",https://doi.org/10.5194/wes-2018-77,True,False,True,,,None,,,,,,,,,,,,,
"Zhang, Jinhua; Yan, Jie; Infield, David; Liu, Yongqian; Lien, Fue-sang; ",Short-term forecasting and uncertainty analysis of wind turbine power based on long short-term memory network and Gaussian mixture model,Applied Energy,241.0,,229-244,2019,Elsevier,wind turbine power,2025-06-13,10.1016/j.apenergy.2019.03.044,"@article{Zhang_2019, title={Short-term forecasting and uncertainty analysis of wind turbine power based on long short-term memory network and Gaussian mixture model}, volume={241}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2019.03.044}, DOI={10.1016/j.apenergy.2019.03.044}, journal={Applied Energy}, publisher={Elsevier BV}, author={Zhang, Jinhua and Yan, Jie and Infield, David and Liu, Yongqian and Lien, Fue-sang}, year={2019}, month=may, pages={229–244} }",https://doi.org/10.1016/j.apenergy.2019.03.044,True,True,True,Wind Direction,"LSTM, Radial Basis Function (RBF), Deep Belief Network (DBN), Wavelet, Feed forward NN, Recurrent Neural Network (RNN)","MAE, RMSE",,,,"""first quarter of 2010""",15min,123,North China,,1.5MW,,,No,No
"Habibi, Hamed; Howard, Ian; Simani, Silvio; ",Reliability improvement of wind turbine power generation using model-based fault detection and fault tolerant control: A review,Renewable energy,135.0,,877-896,2019,Elsevier,wind turbine power,2025-06-13,10.1016/j.renene.2018.12.066,"@article{Habibi_2019, title={Reliability improvement of wind turbine power generation using model-based fault detection and fault tolerant control: A review}, volume={135}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2018.12.066}, DOI={10.1016/j.renene.2018.12.066}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Habibi, Hamed and Howard, Ian and Simani, Silvio}, year={2019}, month=may, pages={877–896} }",https://doi.org/10.1016/j.renene.2018.12.066,False,False,True,,,None,,,,,,,,,,,,,
"Pandit, Ravi; Infield, David; ",Comparative analysis of binning and support vector regression for wind turbine rotor speed based power curve use in condition monitoring,2018 53rd International Universities Power Engineering Conference (UPEC),,,1-6,2018,IEEE,power curve monitoring,2025-06-12,10.1109/upec.2018.8542057,"@inproceedings{Pandit_2018, title={Comparative analysis of binning and support vector regression for wind turbine rotor speed based power curve use in condition monitoring}, url={http://dx.doi.org/10.1109/upec.2018.8542057}, DOI={10.1109/upec.2018.8542057}, booktitle={2018 53rd International Universities Power Engineering Conference (UPEC)}, publisher={IEEE}, author={Pandit, Ravi and Infield, David}, year={2018}, month=sep, pages={1–6} }\n",https://doi.org/10.1109/upec.2018.8542057,True,True,True,"Air Pressure, Ambient Temperature, Air Density, Rotor RPM","IEC Standard, SVR",None,,07.01.2012,31.12.2012,,10 min,1,"Scotland, UK",>100,"2,3",,,No,No
"Javadi, Milad; Malyscheff, Alexander M; Wu, Di; Kang, Chongqing; Jiang, John N; ",An algorithm for practical power curve estimation of wind turbines,CSEE Journal of Power and Energy Systems,4.0,1.0,93-102,2018,CSEE,power curve estimation,2025-06-12,10.17775/cseejpes.2016.00980,"@article{2018, title={An algorithm for practical power curve estimation of wind turbines}, volume={4}, ISSN={2096-0042}, url={http://dx.doi.org/10.17775/cseejpes.2016.00980}, DOI={10.17775/cseejpes.2016.00980}, number={1}, journal={CSEE Journal of Power and Energy Systems}, publisher={Power System Technology Press}, author={Javadi, Milad and Malyscheff, Alexander M. and Wu, Di and Kang, Chongqing and Jiang, John N.}, year={2018}, month=mar, pages={93–102} }",https://doi.org/10.17775/cseejpes.2016.00980,True,True,True,Wind Speed Only,Piece-wise Linear Regression,MSE,,,,1 year,5 min,1,,1,,,,No,No
"Hayashi, Daisuke; Huenteler, Joern; Lewis, Joanna I; ",Gone with the wind: A learning curve analysis of China's wind power industry,Energy Policy,120.0,,38-51,2018,Elsevier,wind power curve,2025-06-12,10.1016/j.enpol.2018.05.012,"@article{Hayashi_2018, title={Gone with the wind: A learning curve analysis of China’s wind power industry}, volume={120}, ISSN={0301-4215}, url={http://dx.doi.org/10.1016/j.enpol.2018.05.012}, DOI={10.1016/j.enpol.2018.05.012}, journal={Energy Policy}, publisher={Elsevier BV}, author={Hayashi, Daisuke and Huenteler, Joern and Lewis, Joanna I.}, year={2018}, month=sep, pages={38–51} }",https://doi.org/10.1016/j.enpol.2018.05.012,True,False,True,,,None,,,,,,,,,,,,,
"Guo, Peng; Infield, David; ",Wind turbine power curve modeling and monitoring with Gaussian process and SPRT,IEEE Transactions on Sustainable Energy,11.0,1.0,107-115,2018,IEEE,power curve,2025-06-12,10.1109/tste.2018.2884699,"@article{Guo_2020, title={Wind Turbine Power Curve Modeling and Monitoring With Gaussian Process and SPRT}, volume={11}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2018.2884699}, DOI={10.1109/tste.2018.2884699}, number={1}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Guo, Peng and Infield, David}, year={2020}, month=jan, pages={107–115} }",https://doi.org/10.1109/tste.2018.2884699,False,False,True,"Wind Direction, Blade Pitch Angle, Yaw Misalignment, Rotor RPM",Gaussian Process,MAPE,,25-04-2017;08-05-2017,15-06-2017;24-06-2017,,,2,"Anhui province, China",,1.5MW,,,No,No
"Ranneberg, Maximilian; Wölfle, David; Bormann, Alexander; Rohde, Peter; Breipohl, Florian; Bastigkeit, Ilona; ",Fast power curve and yield estimation of pumping airborne wind energy systems,Airborne wind energy: Advances in technology development and research,,,623-641,2018,Springer,wind energy power curve,2025-06-12,10.1007/978-981-10-1947-0_25,"@inbook{Ranneberg_2018, title={Fast Power Curve and Yield Estimation of Pumping Airborne Wind Energy Systems}, ISBN={9789811019470}, ISSN={1865-3537}, url={http://dx.doi.org/10.1007/978-981-10-1947-0_25}, DOI={10.1007/978-981-10-1947-0_25}, booktitle={Airborne Wind Energy}, publisher={Springer Singapore}, author={Ranneberg, Maximilian and Wölfle, David and Bormann, Alexander and Rohde, Peter and Breipohl, Florian and Bastigkeit, Ilona}, year={2018}, pages={623–641} }",https://doi.org/10.1007/978-981-10-1947-0_25,True,False,True,,,None,,,,,,,,,,,,,
"Villanueva, Daniel; Feijóo, Andrés; ",Comparison of logistic functions for modeling wind turbine power curves,Electric Power Systems Research,155.0,,281-288,2018,Elsevier,wind turbine power curve,2025-06-12,10.1016/j.epsr.2017.10.028,"@article{Villanueva_2018, title={Comparison of logistic functions for modeling wind turbine power curves}, volume={155}, ISSN={0378-7796}, url={http://dx.doi.org/10.1016/j.epsr.2017.10.028}, DOI={10.1016/j.epsr.2017.10.028}, journal={Electric Power Systems Research}, publisher={Elsevier BV}, author={Villanueva, Daniel and Feijóo, Andrés}, year={2018}, month=feb, pages={281–288} }",https://doi.org/10.1016/j.epsr.2017.10.028,True,True,True,Wind Speed Only,Logistic Function,"MAPE, MAE, RMSE",,,,,,"7 (V80, E82, S82, R82, N90, S107, V164)",,,"2; 2,05; 2,3; 2,05; 2,3; 3,6; 6,995",,,No,No
"Bokde, Neeraj; Feijóo, Andrés; Villanueva, Daniel; ",Wind turbine power curves based on the weibull cumulative distribution function,Applied Sciences,8.0,10.0,1757,2018,MDPI,wind turbine power curve,2025-06-12,10.3390/app8101757,"@article{Bokde_2018, title={Wind Turbine Power Curves Based on the Weibull Cumulative Distribution Function}, volume={8}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app8101757}, DOI={10.3390/app8101757}, number={10}, journal={Applied Sciences}, publisher={MDPI AG}, author={Bokde, Neeraj and Feijóo, Andrés and Villanueva, Daniel}, year={2018}, month=sep, pages={1757} }",https://doi.org/10.3390/app8101757,True,True,True,Wind Speed Only,Weibull CDF model,"RMSE, MAE",,,,,,6,UK,1,,Beides,,No,No
"Lydia, M; Suresh Kumar, S; Immanuel Selvakumar, A; Edwin Prem Kumar, G; ",Wind farm power prediction based on wind speed and power curve models,Intelligent and Efficient Electrical Systems: Selected Proceedings of ICIEES’17,,,15-24,2018,Springer,wind farm power curve,2025-06-12,10.1007/978-981-10-4852-4_2,"@inbook{Lydia_2017, title={Wind Farm Power Prediction Based on Wind Speed and Power Curve Models}, ISBN={9789811048524}, ISSN={1876-1119}, url={http://dx.doi.org/10.1007/978-981-10-4852-4_2}, DOI={10.1007/978-981-10-4852-4_2}, booktitle={Intelligent and Efficient Electrical Systems}, publisher={Springer Singapore}, author={Lydia, M. and Suresh Kumar, S. and Immanuel Selvakumar, A. and Edwin Prem Kumar, G.}, year={2017}, month=dec, pages={15–24} }",https://doi.org/10.1007/978-981-10-4852-4_2,True,True,False,,,None,,,,,,,,,,,,,
"Wang, Yun; Hu, Qinghua; Srinivasan, Dipti; Wang, Zheng; ",Wind power curve modeling and wind power forecasting with inconsistent data,IEEE Transactions on Sustainable Energy,10.0,1.0,16-25,2018,IEEE,power curve,2025-06-12,10.1109/tste.2018.2820198,"@article{Wang_2019, title={Wind Power Curve Modeling and Wind Power Forecasting With Inconsistent Data}, volume={10}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2018.2820198}, DOI={10.1109/tste.2018.2820198}, number={1}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Wang, Yun and Hu, Qinghua and Srinivasan, Dipti and Wang, Zheng}, year={2019}, month=jan, pages={16–25} }",https://doi.org/10.1109/tste.2018.2820198,True,True,True,Wind Speed Only,Splines,"RMSE, MAE",,,,,10 min,2,,1,,,,No,No
"Astolfi, Davide; Castellani, Francesco; Terzi, Ludovico; ",Wind turbine power curve upgrades,Energies,11.0,5.0,1300,2018,MDPI,power curve,2025-06-12,10.3390/en11051300,"@article{Astolfi_2018, title={Wind Turbine Power Curve Upgrades}, volume={11}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en11051300}, DOI={10.3390/en11051300}, number={5}, journal={Energies}, publisher={MDPI AG}, author={Astolfi, Davide and Castellani, Francesco and Terzi, Ludovico}, year={2018}, month=may, pages={1300} }",https://doi.org/10.3390/en11051300,True,True,True,"Wind Direction, Air Density, Ambient Temperature, Air Pressure, Power of nearby turbines",Feed forward NN,MAE,Collaboration with Renvico srl,01.01.2016,01.04.2018,,10 min,17,Italy and France,,"2,5; 2,3",Onshore,,No,No
"Manobel, Bartolomé; Sehnke, Frank; Lazzús, Juan A; Salfate, Ignacio; Felder, Martin; Montecinos, Sonia; ",Wind turbine power curve modeling based on Gaussian processes and artificial neural networks,Renewable Energy,125.0,,1015-1020,2018,Elsevier,power curve,2025-06-12,10.1016/j.renene.2018.02.081,"@article{Manobel_2018, title={Wind turbine power curve modeling based on Gaussian Processes and Artificial Neural Networks}, volume={125}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2018.02.081}, DOI={10.1016/j.renene.2018.02.081}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Manobel, Bartolomé and Sehnke, Frank and Lazzús, Juan A. and Salfate, Ignacio and Felder, Martin and Montecinos, Sonia}, year={2018}, month=sep, pages={1015–1020} }",https://doi.org/10.1016/j.renene.2018.02.081,True,True,True,Wind Direction,Feed forward NN,RMSE,,2013,2016,,10 min,3,Coquimbo Region of Chile,2,2,Onshore,,No,No
"Yesilbudak, Mehmet; ",Implementation of novel hybrid approaches for power curve modeling of wind turbines,Energy Conversion and Management,171.0,,156-169,2018,Elsevier,power curve,2025-06-12,10.1016/j.enconman.2018.05.092,"@article{Yesilbudak_2018, title={Implementation of novel hybrid approaches for power curve modeling of wind turbines}, volume={171}, ISSN={0196-8904}, url={http://dx.doi.org/10.1016/j.enconman.2018.05.092}, DOI={10.1016/j.enconman.2018.05.092}, journal={Energy Conversion and Management}, publisher={Elsevier BV}, author={Yesilbudak, Mehmet}, year={2018}, month=sep, pages={156–169} }",https://doi.org/10.1016/j.enconman.2018.05.092,True,True,True,Wind Speed Only,"Polynomial model, Fourier Series Interpolation, Gaussian Model, Sum of Sines, Splines, Piece-wise Linear Regression, Quadratic model, Cubic model, Exponential model, Logarithmic Regression","RMSE, R^2, SSE",Database on Wind Characteristics,,,,10 min,,"Tjæreborg, Denmark",1,2,Onshore,,Yes,No
"Helbing, Georg; Ritter, Matthias; ",Power curve monitoring with flexible EWMA control charts,2017 International Conference on Promising Electronic Technologies (ICPET),,,124-128,2017,IEEE,power curve monitoring,2025-06-12,10.1109/icpet.2017.29,"@inproceedings{Helbing_2017, title={Power Curve Monitoring with Flexible EWMA Control Charts}, url={http://dx.doi.org/10.1109/icpet.2017.29}, DOI={10.1109/icpet.2017.29}, booktitle={2017 International Conference on Promising Electronic Technologies (ICPET)}, publisher={IEEE}, author={Helbing, Georg and Ritter, Matthias}, year={2017}, month=oct }",https://doi.org/10.1109/icpet.2017.29,True,True,True,Wind Speed Only,"EWMA, Autoregressive Model (AR), Splines, Logistic Function",None,Proprietary 10-min SCADA dataset supplied by 4inita GmbH,01.07.2014,31.12.2016,,10 min,1,"Onshore, near the coast in north-west Germany",,,Onshore,356 hours of downtime caused by technical errors,No,No
"Goretti, Gianni; Duffy, Aidan; Lie, Tek Tjing; ",The impact of power curve estimation on commercial wind power forecasts—An empirical analysis,2017 14th International Conference on the European Energy Market (EEM),,,1-4,2017,IEEE,power curve estimation,2025-06-12,10.1109/eem.2017.7981885,"@inproceedings{Goretti_2017, title={The impact of power curve estimation on commercial wind power forecasts — An empirical analysis}, url={http://dx.doi.org/10.1109/eem.2017.7981885}, DOI={10.1109/eem.2017.7981885}, booktitle={2017 14th International Conference on the European Energy Market (EEM)}, publisher={IEEE}, author={Goretti, Gianni and Duffy, Aidan and Lie, Tek Tjing}, year={2017}, month=jun, pages={1–4} }",https://doi.org/10.1109/eem.2017.7981885,True,True,True,Wind Speed Only,IEC Standard,"MAE, RMSE, Mean error",,,,,,,Northern Europe,1,,Onshore,,No,No
"Iversen, Emil B; Morales, Juan M; Møller, Jan K; Trombe, Pierre‐Julien; Madsen, Henrik; ",Leveraging stochastic differential equations for probabilistic forecasting of wind power using a dynamic power curve,Wind Energy,20.0,1.0,33-44,2017,Wiley Online Library,wind power curve,2025-06-12,10.1002/we.1988,"@article{Iversen_2016, title={Leveraging stochastic differential equations for probabilistic forecasting of wind power using a dynamic power curve: Leveraging stochastic differential equations for probabilistic forecasting of wind power using a dynamic power curve}, volume={20}, ISSN={1095-4244}, url={http://dx.doi.org/10.1002/we.1988}, DOI={10.1002/we.1988}, number={1}, journal={Wind Energy}, publisher={Wiley}, author={Iversen, Emil B. and Morales, Juan M. and Møller, Jan K. and Trombe, Pierre-Julien and Madsen, Henrik}, year={2016}, month=may, pages={33–44} }",https://doi.org/10.1002/we.1988,True,True,True,Datetime,SDE,"MAE, RMSE, CRPS, Energy score, SSCRPS",,1/1/1999,31/12/2001,,1h,,"Klim 
Fjordholme, 
Denmark",1,,Onshore,,No,No
"Johansson, Viktor; Thorson, Ludwig; Goop, Joel; Göransson, Lisa; Odenberger, Mikael; Reichenberg, Lina; Taljegard, M; Johnsson, Filip; ",Value of wind power–Implications from specific power,Energy,126.0,,352-360,2017,Elsevier,wind power curve,2025-06-12,10.1016/j.energy.2017.03.038,"@article{Johansson_2017, title={Value of wind power – Implications from specific power}, volume={126}, ISSN={0360-5442}, url={http://dx.doi.org/10.1016/j.energy.2017.03.038}, DOI={10.1016/j.energy.2017.03.038}, journal={Energy}, publisher={Elsevier BV}, author={Johansson, V. and Thorson, L. and Goop, J. and Göransson, L. and Odenberger, M. and Reichenberg, L. and Taljegard, M. and Johnsson, F.}, year={2017}, month=may, pages={352–360} }",https://doi.org/10.1016/j.energy.2017.03.038,True,False,True,,,None,,,,,,,,,,,,,
"Morshedizadeh, Majid; Kordestani, Mojtaba; Carriveau, Rupp; Ting, David SK; Saif, Mehrdad; ",Improved power curve monitoring of wind turbines,Wind engineering,41.0,4.0,260-271,2017,"SAGE Publications Sage UK: London, England",power curve estimation,2025-06-12,10.1177/0309524x17709730,"@article{Morshedizadeh_2017, title={Improved power curve monitoring of wind turbines}, volume={41}, ISSN={2048-402X}, url={http://dx.doi.org/10.1177/0309524x17709730}, DOI={10.1177/0309524x17709730}, number={4}, journal={Wind Engineering}, publisher={SAGE Publications}, author={Morshedizadeh, Majid and Kordestani, Mojtaba and Carriveau, Rupp and Ting, David S-K and Saif, Mehrdad}, year={2017}, month=may, pages={260–271} }",https://doi.org/10.1177/0309524x17709730,False,False,False,,,None,,,,,,,,,,,,,
"Kalmikov, Alexander; ",Wind power fundamentals,Wind energy engineering,,,17-24,2017,Elsevier,wind power curve,2025-06-12,10.1016/b978-0-12-809451-8.00002-3,"@inbook{Kalmikov_2017, title={Wind Power Fundamentals}, ISBN={9780128094518}, url={http://dx.doi.org/10.1016/b978-0-12-809451-8.00002-3}, DOI={10.1016/b978-0-12-809451-8.00002-3}, booktitle={Wind Energy Engineering}, publisher={Elsevier}, author={Kalmikov, Alexander}, year={2017}, pages={17–24} }",https://doi.org/10.1016/b978-0-12-809451-8.00002-3,False,False,False,,,None,,,,,,,,,,,,,
"Tian, Jie; Zhou, Dao; Su, Chi; Soltani, Mohsen; Chen, Zhe; Blaabjerg, Frede; ",Wind turbine power curve design for optimal power generation in wind farms considering wake effect,Energies,10.0,3,395,2017,MDPI,wind energy power curve,2025-06-12,10.3390/en10030395,"@article{Tian_2017, title={Wind Turbine Power Curve Design for Optimal Power Generation in Wind Farms Considering Wake Effect}, volume={10}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en10030395}, DOI={10.3390/en10030395}, number={3}, journal={Energies}, publisher={MDPI AG}, author={Tian, Jie and Zhou, Dao and Su, Chi and Soltani, Mohsen and Chen, Zhe and Blaabjerg, Frede}, year={2017}, month=mar, pages={395} }",https://doi.org/10.3390/en10030395,True,False,True,,,None,,,,,,,,,,,,,
"Bardal, Lars Morten; Sætran, Lars Roar; ",Influence of turbulence intensity on wind turbine power curves,Energy Procedia,137.0,,553-558,2017,Elsevier,wind turbine power curve,2025-06-12,10.1016/j.egypro.2017.10.384,"@article{Bardal_2017, title={Influence of turbulence intensity on wind turbine power curves}, volume={137}, ISSN={1876-6102}, url={http://dx.doi.org/10.1016/j.egypro.2017.10.384}, DOI={10.1016/j.egypro.2017.10.384}, journal={Energy Procedia}, publisher={Elsevier BV}, author={Bardal, Lars Morten and Sætran, Lars Roar}, year={2017}, month=oct, pages={553–558} }",https://doi.org/10.1016/j.egypro.2017.10.384,True,True,True,Turbulence Intensity,IEC Standard,RE,,,,10 months,10min,1,Norway,,3,,,No,No
"You, Mingdi; Liu, Bingjie; Byon, Eunshin; Huang, Shuai; Jin, Jionghua; ",Direction-dependent power curve modeling for multiple interacting wind turbines,IEEE Transactions on power systems,33.0,2.0,1725-1733,2017,IEEE,power curve model,2025-06-12,10.1109/tpwrs.2017.2737529,"@article{You_2018, title={Direction-Dependent Power Curve Modeling for Multiple Interacting Wind Turbines}, volume={33}, ISSN={1558-0679}, url={http://dx.doi.org/10.1109/tpwrs.2017.2737529}, DOI={10.1109/tpwrs.2017.2737529}, number={2}, journal={IEEE Transactions on Power Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={You, Mingdi and Liu, Bingjie and Byon, Eunshin and Huang, Shuai and Jin, Jionghua}, year={2018}, month=mar, pages={1725–1733} }",https://doi.org/10.1109/tpwrs.2017.2737529,True,True,True,"Datetime, Wind Direction",Bayesian hierarchical inference,"MAE, RMSE",,,,,10 min,,,3,,,,No,No
"Feijóo, Andrés; Villanueva, Daniel; ",Four-parameter models for wind farm power curves and power probability density functions,IEEE Transactions on Sustainable Energy,8.0,4,1783-1784,2017,IEEE,wind farm power curve,2025-06-12,10.3390/en15010182,"@article{Feij_o_Lorenzo_2021, title={Wind Farm Power Curves and Power Distributions}, volume={15}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en15010182}, DOI={10.3390/en15010182}, number={1}, journal={Energies}, publisher={MDPI AG}, author={Feijóo-Lorenzo, Andrés E.}, year={2021}, month=dec, pages={182} }",https://doi.org/10.3390/en15010182,True,False,True,,,None,,,,,,,,,,,,,
"Marčiukaitis, Mantas; Žutautaitė, Inga; Martišauskas, Linas; Jokšas, Benas; Gecevičius, Giedrius; Sfetsos, Athanasios; ",Non-linear regression model for wind turbine power curve,Renewable Energy,113.0,,732-741,2017,Elsevier,power curve,2025-06-12,10.1016/j.renene.2017.06.039,"@article{Mar_iukaitis_2017, title={Non-linear regression model for wind turbine power curve}, volume={113}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2017.06.039}, DOI={10.1016/j.renene.2017.06.039}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Marčiukaitis, Mantas and Žutautaitė, Inga and Martišauskas, Linas and Jokšas, Benas and Gecevičius, Giedrius and Sfetsos, Athanasios}, year={2017}, month=dec, pages={732–741} }",https://doi.org/10.1016/j.renene.2017.06.039,True,True,True,Wind Direction,"Polynomial regression, Modified hyperbolic tangent function, Exponential model, Mode approach",MAPE,Enercon E8 wind turbines in Seirijai,01.08.2013,31.12.2013,,10 min,3,"Southern Lithuania, on-shore Seirijai wind farm",,2,Onshore,,No,No
"Ouyang, Tinghui; Kusiak, Andrew; He, Yusen; ",Modeling wind-turbine power curve: A data partitioning and mining approach,Renewable Energy,102.0,,1-8,2017,Elsevier,power curve,2025-06-12,10.1016/j.renene.2016.10.032,"@article{Ouyang_2017, title={Modeling wind-turbine power curve: A data partitioning and mining approach}, volume={102}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2016.10.032}, DOI={10.1016/j.renene.2016.10.032}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Ouyang, Tinghui and Kusiak, Andrew and He, Yusen}, year={2017}, month=mar, pages={1–8} }",https://doi.org/10.1016/j.renene.2016.10.032,True,True,True,Air Density,"Piece-wise Linear Regression, SVR","MAE, RMSE, R^2, MSE, Duration, SSE",,01.06.2014,01.07.2015,,10 min,1,Midwest (USA),,,Onshore,,No,No
"Teyabeen, Alhassan Ali; Akkari, Fathi Rajab; Jwaid, Ali Elseddig; ",Power curve modelling for wind turbines,2017 UKSim-AMSS 19th International Conference on Computer Modelling & Simulation (UKSim),,,179-184,2017,IEEE,power curve,2025-06-12,10.1109/uksim.2017.30,"@inproceedings{Teyabeen_2017, title={Power Curve Modelling for Wind Turbines}, url={http://dx.doi.org/10.1109/uksim.2017.30}, DOI={10.1109/uksim.2017.30}, booktitle={2017 UKSim-AMSS 19th International Conference on Computer Modelling &amp; Simulation (UKSim)}, publisher={IEEE}, author={Teyabeen, Alhassan Ali and Akkari, Fathi Rajab and Jwaid, Ali Elseddig}, year={2017}, month=apr, pages={179–184} }",https://doi.org/10.1109/uksim.2017.30,True,True,True,Wind Speed Only,"Linear model, Polynomial model, Power-coefficient based model, General model, Quadratic model, Exponential model, Cubic model","RE, NRMSE, Correlation coefficient",,,,,,32,,1,various,,,Yes,No
"Zhao, Yongning; Ye, Lin; Wang, Weisheng; Sun, Huadong; Ju, Yuntao; Tang, Yong; ",Data-driven correction approach to refine power curve of wind farm under wind curtailment,IEEE Transactions on Sustainable Energy,9.0,1.0,95-105,2017,IEEE,power curve,2025-06-12,10.1109/tste.2017.2717021,"@article{Zhao_2018, title={Data-Driven Correction Approach to Refine Power Curve of Wind Farm Under Wind Curtailment}, volume={9}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2017.2717021}, DOI={10.1109/tste.2017.2717021}, number={1}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Zhao, Yongning and Ye, Lin and Wang, Weisheng and Sun, Huadong and Ju, Yuntao and Tang, Yong}, year={2018}, month=jan, pages={95–105} }",https://doi.org/10.1109/tste.2017.2717021,True,True,True,Wind Speed Only,IEC Standard,"NRMSE, Duration",,,,,,20,China,,2,,,No,No
